Language,Movie_ID,Review,Score,tokenized_reviews
en,-800777728,i love science fiction and i hate superheroes but i credit the x men series with giving me an appreciation for them x men has showed me that in the proper context with some great writers superheroes movies do not have to be the lowest form of sci fi entertainment days of future past seemed to confuse some people as it not part of the trilogy and therefore it timeline is off the ending of the film also creates a paradox which eliminates certain mistakes made in the other films in layman terms some of the things that happen in the other x men movies never happen because of days of future past in an undetermined era sometime between the end of the original film and last stand a new enemy has been targeting mutants these machines meant to eliminate the mutants have malfunctioned and are now targeting humans as well the machines are made with mutant dna and therefore have the combined forces of all the mutants it come in contact with making them unstoppable the only chance the x men have is for one of them to go back in time and stop the machines from ever being built wolverine is the only one with a mind strong enough to survive the trip and is sent back to the ####s where he meets the cast of x men first class while difficult for non sci fi aficionados to understand this film was not only extremely well written but serves dual purposes for the series first it brings both casts together in an extreme fashion and it a tremendous gift for the fans second it allows the writers to undo mistakes from the last stand which was at the time set to be the final x men film the ending to days of future past effectively explain that everything that happened in last stand never happened as it was part of an alternate timeline this allows the writers to bring back characters like prof x who is seen killed in that film for possible future films it really was an ingenious move for the franchises future but it also allowed fans to experience the old timers and the new class working together in a huge diverse and very impressive cast seldom are superheroes films so complicated or as well written as days of future past the writing is out of this world the cast is full of stars and the special effects were absolutely amazing love it or hate it superheroes are part of the science fiction genre but days of future past was simply incredible and for that it our latest must see movie ,9,"['love', 'science', 'fiction', 'hate', 'superheroes', 'but', 'credit', 'the', 'men', 'series', 'with', 'giving', 'appreciation', 'for', 'them', 'men', 'has', 'showed', 'that', 'the', 'proper', 'context', 'with', 'some', 'great', 'writers', 'superheroes', 'movies', 'not', 'have', 'the', 'lowest', 'form', 'sci', 'entertainment', 'days', 'future', 'past', 'seemed', 'confuse', 'some', 'people', 'not', 'part', 'the', 'trilogy', 'therefore', 'timeline', 'off', 'the', 'ending', 'the', 'film', 'also', 'creates', 'paradox', 'which', 'eliminates', 'certain', 'mistakes', 'made', 'the', 'other', 'films', 'layman', 'terms', 'some', 'the', 'things', 'that', 'happen', 'the', 'other', 'men', 'movies', 'never', 'happen', 'because', 'days', 'future', 'past', 'undetermined', 'era', 'sometime', 'between', 'the', 'end', 'the', 'original', 'film', 'last', 'stand', 'new', 'enemy', 'has', 'been', 'targeting', 'mutants', 'these', 'machines', 'meant', 'eliminate', 'the', 'mutants', 'have', 'malfunctioned', 'are', 'now', 'targeting', 'humans', 'well', 'the', 'machines', 'are', 'made', 'with', 'mutant', 'dna', 'therefore', 'have', 'the', 'combined', 'forces', 'all', 'the', 'mutants', 'come', 'contact', 'with', 'making', 'them', 'unstoppable', 'the', 'only', 'chance', 'the', 'men', 'have', 'for', 'one', 'them', 'back', 'time', 'stop', 'the', 'machines', 'from', 'ever', 'being', 'built', 'wolverine', 'the', 'only', 'one', 'with', 'mind', 'strong', 'enough', 'survive', 'the', 'trip', 'sent', 'back', 'the', '####s', 'where', 'meets', 'the', 'cast', 'men', 'first', 'class', 'while', 'difficult', 'for', 'non', 'sci', 'aficionados', 'understand', 'this', 'film', 'was', 'not', 'only', 'extremely', 'well', 'written', 'but', 'serves', 'dual', 'purposes', 'for', 'the', 'series', 'first', 'brings', 'both', 'casts', 'together', 'extreme', 'fashion', 'tremendous', 'gift', 'for', 'the', 'fans', 'second', 'allows', 'the', 'writers', 'undo', 'mistakes', 'from', 'the', 'last', 'stand', 'which', 'was', 'the', 'time', 'set', 'the', 'final', 'men', 'film', 'the', 'ending', 'days', 'future', 'past', 'effectively', 'explain', 'that', 'everything', 'that', 'happened', 'last', 'stand', 'never', 'happened', 'was', 'part', 'alternate', 'timeline', 'this', 'allows', 'the', 'writers', 'bring', 'back', 'characters', 'like', 'prof', 'who', 'seen', 'killed', 'that', 'film', 'for', 'possible', 'future', 'films', 'really', 'was', 'ingenious', 'move', 'for', 'the', 'franchises', 'future', 'but', 'also', 'allowed', 'fans', 'experience', 'the', 'old', 'timers', 'the', 'new', 'class', 'working', 'together', 'huge', 'diverse', 'very', 'impressive', 'cast', 'seldom', 'are', 'superheroes', 'films', 'complicated', 'well', 'written', 'days', 'future', 'past', 'the', 'writing', 'out', 'this', 'world', 'the', 'cast', 'full', 'stars', 'the', 'special', 'effects', 'were', 'absolutely', 'amazing', 'love', 'hate', 'superheroes', 'are', 'part', 'the', 'science', 'fiction', 'genre', 'but', 'days', 'future', 'past', 'was', 'simply', 'incredible', 'for', 'that', 'our', 'latest', 'must', 'see', 'movie']"
en,-800777728,the movie is absolutely incredible all the performances are amazing especially james mcavoy michael fasbander and jennifer lawrence if you have not seen any of the other x men movies then i highly recommend checking them out before watching this one because you will appreciate days of future past so much more not only is the movie the best in the x men saga but it is also funny suspenseful gripping and action packed i absolutely love the storyline in this film as well one of my favorite scenes of this movie was quicksilver is there anyone who does not like the guy because he is amazing i just wish they could use the same actor for the avengers age of ultron mystique my favorite mutant has a huge role and so that amazing in the final scene when mystique is deciding whether to kill trask or not and the camera is switching between past and future best part in my opinion i loved how the movie plays slow music for the scene it means so much in such little of a tune i loved x men and i have already seen it twice i do not plan at stopping at that either ## ## stars ,10,"['the', 'movie', 'absolutely', 'incredible', 'all', 'the', 'performances', 'are', 'amazing', 'especially', 'james', 'michael', 'jennifer', 'lawrence', 'you', 'have', 'not', 'seen', 'any', 'the', 'other', 'men', 'movies', 'then', 'highly', 'recommend', 'checking', 'them', 'out', 'before', 'watching', 'this', 'one', 'because', 'you', 'will', 'appreciate', 'days', 'future', 'past', 'much', 'more', 'not', 'only', 'the', 'movie', 'the', 'best', 'the', 'men', 'saga', 'but', 'also', 'funny', 'suspenseful', 'gripping', 'action', 'packed', 'absolutely', 'love', 'the', 'storyline', 'this', 'film', 'well', 'one', 'favorite', 'scenes', 'this', 'movie', 'was', 'quicksilver', 'there', 'anyone', 'who', 'does', 'not', 'like', 'the', 'guy', 'because', 'amazing', 'just', 'wish', 'they', 'could', 'use', 'the', 'same', 'actor', 'for', 'the', 'avengers', 'age', 'mystique', 'favorite', 'mutant', 'has', 'huge', 'role', 'that', 'amazing', 'the', 'final', 'scene', 'when', 'mystique', 'deciding', 'whether', 'kill', 'not', 'the', 'camera', 'switching', 'between', 'past', 'future', 'best', 'part', 'opinion', 'loved', 'how', 'the', 'movie', 'plays', 'slow', 'music', 'for', 'the', 'scene', 'means', 'much', 'such', 'little', 'tune', 'loved', 'men', 'have', 'already', 'seen', 'twice', 'not', 'plan', 'stopping', 'that', 'either', 'stars']"
en,-1018312192,in a cinematic era dominated by reboots and mindless blockbuster franchises rise of the planet of the apes does indeed rise above the rest this is in whole due to the startling performance by serkis the man behind gollum and jackson king kong has created through motion capture and facial recognition technology an ape character that is nothing short of miraculous serkis gives us caeser who is every bit the primate but serkis offers such subtle nuances and gestures that the character outperforms his human counterparts this is truly deserving of an oscar should the academy finally get its head around this hybrid style of acting the technology is now so good you can allow yourself to forget you are watching a cgi character but it is down to serkis why you believe that character has life and sentience you will want to rise up and follow him too the story is told with equal subtlety while it contains all number of clich s that will swell your heart and stir your compassion newcomer wyatt directs with a purpose there is a sense that there has been great thought about how man can fall and apes rise in their place the audience is left to fill in the story without having the plot points force fed by the climatic end it is enough that there is escape for the audience to know the human oppressor has given way to the nobler and indeed humane race more reviews at lookbeyondreviews blogspot com ,8,"['cinematic', 'era', 'dominated', 'reboots', 'mindless', 'blockbuster', 'franchises', 'rise', 'the', 'planet', 'the', 'apes', 'does', 'indeed', 'rise', 'above', 'the', 'rest', 'this', 'whole', 'due', 'the', 'startling', 'performance', 'the', 'man', 'behind', 'jackson', 'king', 'kong', 'has', 'created', 'through', 'motion', 'capture', 'facial', 'recognition', 'technology', 'ape', 'character', 'that', 'nothing', 'short', 'miraculous', 'gives', 'who', 'every', 'bit', 'the', 'primate', 'but', 'offers', 'such', 'subtle', 'nuances', 'gestures', 'that', 'the', 'character', 'outperforms', 'his', 'human', 'counterparts', 'this', 'truly', 'deserving', 'oscar', 'should', 'the', 'academy', 'finally', 'get', 'its', 'head', 'around', 'this', 'hybrid', 'style', 'acting', 'the', 'technology', 'now', 'good', 'you', 'can', 'allow', 'yourself', 'forget', 'you', 'are', 'watching', 'cgi', 'character', 'but', 'down', 'why', 'you', 'believe', 'that', 'character', 'has', 'life', 'sentience', 'you', 'will', 'want', 'rise', 'follow', 'him', 'too', 'the', 'story', 'told', 'with', 'equal', 'subtlety', 'while', 'contains', 'all', 'number', 'clich', 'that', 'will', 'swell', 'your', 'heart', 'stir', 'your', 'compassion', 'newcomer', 'directs', 'with', 'purpose', 'there', 'sense', 'that', 'there', 'has', 'been', 'great', 'thought', 'about', 'how', 'man', 'can', 'fall', 'apes', 'rise', 'their', 'place', 'the', 'audience', 'left', 'fill', 'the', 'story', 'without', 'having', 'the', 'plot', 'points', 'force', 'fed', 'the', 'climatic', 'end', 'enough', 'that', 'there', 'escape', 'for', 'the', 'audience', 'know', 'the', 'human', 'oppressor', 'has', 'given', 'way', 'the', 'nobler', 'indeed', 'humane', 'race', 'more', 'reviews', 'blogspot', 'com']"
en,-1018312192,movie review on rise of the planet of the apes by shant salkhorian if you are like me a frequent moviegoer you learn to appreciate a good story rather than just eye candy or lots of fire works i am a big fan of planet of the apes and to see its origins is truly awesome out of the entire series of planet of the apes i think this one really showed us some gold it was just spectacular yes this film had a lot of great cgi i am not a huge fan for special effects but if i had no idea the apes were all done by cgi experts they could have fooled the apes looked real the actors delivered fine performances for their well developed characters i personally loved james franco performance the writers rick jaffa and amanda silver did not miss any information with their fantastic and intelligent script the characters were wonderfully developed the story was compelling exciting and emotionally touching i was able to really connect with the apes overall this film had me connected and concerned from the second it had begun great acting great script awesome cinematography and incredible cgi if you are a fan of planet of the apes then you will love this film i give this a wild # out of ## for the strong compelling story and the wonderful thrill ride this is a summer movie that simply must be seen ,4,"['movie', 'review', 'rise', 'the', 'planet', 'the', 'apes', 'shant', 'you', 'are', 'like', 'frequent', 'moviegoer', 'you', 'learn', 'appreciate', 'good', 'story', 'rather', 'than', 'just', 'eye', 'candy', 'lots', 'fire', 'works', 'big', 'fan', 'planet', 'the', 'apes', 'see', 'its', 'origins', 'truly', 'awesome', 'out', 'the', 'entire', 'series', 'planet', 'the', 'apes', 'think', 'this', 'one', 'really', 'showed', 'some', 'gold', 'was', 'just', 'spectacular', 'yes', 'this', 'film', 'had', 'lot', 'great', 'cgi', 'not', 'huge', 'fan', 'for', 'special', 'effects', 'but', 'had', 'idea', 'the', 'apes', 'were', 'all', 'done', 'cgi', 'experts', 'they', 'could', 'have', 'fooled', 'the', 'apes', 'looked', 'real', 'the', 'actors', 'delivered', 'fine', 'performances', 'for', 'their', 'well', 'developed', 'characters', 'personally', 'loved', 'james', 'franco', 'performance', 'the', 'writers', 'rick', 'jaffa', 'amanda', 'silver', 'did', 'not', 'miss', 'any', 'information', 'with', 'their', 'fantastic', 'intelligent', 'script', 'the', 'characters', 'were', 'wonderfully', 'developed', 'the', 'story', 'was', 'compelling', 'exciting', 'emotionally', 'touching', 'was', 'able', 'really', 'connect', 'with', 'the', 'apes', 'overall', 'this', 'film', 'had', 'connected', 'concerned', 'from', 'the', 'second', 'had', 'begun', 'great', 'acting', 'great', 'script', 'awesome', 'cinematography', 'incredible', 'cgi', 'you', 'are', 'fan', 'planet', 'the', 'apes', 'then', 'you', 'will', 'love', 'this', 'film', 'give', 'this', 'wild', 'out', 'for', 'the', 'strong', 'compelling', 'story', 'the', 'wonderful', 'thrill', 'ride', 'this', 'summer', 'movie', 'that', 'simply', 'must', 'seen']"
en,-1018312192,during experiments to find a cure for alzheimer disease a genetically enhanced chimpanzee uses its greater intelligence to lead other apes to freedom plot first thing i did not expect i will like this film because the first version was bad i mean tim burtin version not the oldest one #### but here i really enjoyed great film and fast paced without a moment to feel boring the story maybe repeated but the events was good the film has a great director rupert wyatt he showed a great talent the best part in the film is caesar and his actions and reactions to the world finally i recommended to watch this ,7,"['during', 'experiments', 'find', 'cure', 'for', 'alzheimer', 'disease', 'genetically', 'enhanced', 'chimpanzee', 'uses', 'its', 'greater', 'intelligence', 'lead', 'other', 'apes', 'freedom', 'plot', 'first', 'thing', 'did', 'not', 'expect', 'will', 'like', 'this', 'film', 'because', 'the', 'first', 'version', 'was', 'bad', 'mean', 'tim', 'version', 'not', 'the', 'oldest', 'one', '####', 'but', 'here', 'really', 'enjoyed', 'great', 'film', 'fast', 'paced', 'without', 'moment', 'feel', 'boring', 'the', 'story', 'maybe', 'repeated', 'but', 'the', 'events', 'was', 'good', 'the', 'film', 'has', 'great', 'director', 'rupert', 'showed', 'great', 'talent', 'the', 'best', 'part', 'the', 'film', 'caesar', 'his', 'actions', 'reactions', 'the', 'world', 'finally', 'recommended', 'watch', 'this']"
en,-1112579067,this is one of the best movies ever made it focuses on the struggles faced by people in their everyday life when i first started watching this movie i thought the story was a little slow but this movie needs only half and hour to make you completely involved in the story and then it will make you laugh cry it will also give you goosebumps this is one of those movies that changes your entire life this movie has encouraged me to become a better man i personally feel that this movie is truly appreciated by only those people who are not born with a silver spoon up their a this movie gives hope to the masses those people who struggle to protect the right to live a decent life and for those people who dare to dream big things and dedicated their lives to the pursuit of happiness,10,"['this', 'one', 'the', 'best', 'movies', 'ever', 'made', 'focuses', 'the', 'struggles', 'faced', 'people', 'their', 'everyday', 'life', 'when', 'first', 'started', 'watching', 'this', 'movie', 'thought', 'the', 'story', 'was', 'little', 'slow', 'but', 'this', 'movie', 'needs', 'only', 'half', 'hour', 'make', 'you', 'completely', 'involved', 'the', 'story', 'then', 'will', 'make', 'you', 'laugh', 'cry', 'will', 'also', 'give', 'you', 'goosebumps', 'this', 'one', 'those', 'movies', 'that', 'changes', 'your', 'entire', 'life', 'this', 'movie', 'has', 'encouraged', 'become', 'better', 'man', 'personally', 'feel', 'that', 'this', 'movie', 'truly', 'appreciated', 'only', 'those', 'people', 'who', 'are', 'not', 'born', 'with', 'silver', 'spoon', 'their', 'this', 'movie', 'gives', 'hope', 'the', 'masses', 'those', 'people', 'who', 'struggle', 'protect', 'the', 'right', 'live', 'decent', 'life', 'for', 'those', 'people', 'who', 'dare', 'dream', 'big', 'things', 'dedicated', 'their', 'lives', 'the', 'pursuit', 'happiness']"
en,-1112579067,kochadaiiyaan #d tamil u heropanti u a hindi new movie reviews and lots more hot news like this page english hindi tamil telugu facebook movie review by yunus irshad https www facebook com yunusirshadsmoviereview the pursuit of happiness u english my rating emotional touch strengths strong emotions between father and son casting and performances were marvelous by smith sound track story screenplay direction really good weaknesses drags a bit final verdict overall it is a clean movie has a simple script but contains a lot of emotions and feel a struggling salesman takes custody of his son as he poised to begin a life changing professional endeavor stars will smith thandie newton jaden smith see full cast and crew ,7,"['tamil', 'hindi', 'new', 'movie', 'reviews', 'lots', 'more', 'hot', 'news', 'like', 'this', 'page', 'english', 'hindi', 'tamil', 'telugu', 'facebook', 'movie', 'review', 'https', 'www', 'facebook', 'com', 'the', 'pursuit', 'happiness', 'english', 'rating', 'emotional', 'touch', 'strengths', 'strong', 'emotions', 'between', 'father', 'son', 'casting', 'performances', 'were', 'marvelous', 'smith', 'sound', 'track', 'story', 'screenplay', 'direction', 'really', 'good', 'weaknesses', 'drags', 'bit', 'final', 'verdict', 'overall', 'clean', 'movie', 'has', 'simple', 'script', 'but', 'contains', 'lot', 'emotions', 'feel', 'struggling', 'salesman', 'takes', 'custody', 'his', 'son', 'poised', 'begin', 'life', 'changing', 'professional', 'endeavor', 'stars', 'will', 'smith', 'newton', 'smith', 'see', 'full', 'cast', 'crew']"
en,-1084746746,okay first things first this is not on the level of shrek or even monsters inc in terms of the storyline nor the subtle or not so subtle modern references tons of cliches abound but do not let that get in the way of your enjoyment watch it without being a grumpy cynic and you will come away satisfied for the # ticket you just paid it a film that will make you smile along the way and maybe sniffle at the end this was not meant to be an astract masterpiece it was meant as a fun for all ages film and it definitely succeeds basic storyline of # mammalian misfits coming together to save a baby boy the voice casting was perfect john l is especially fitting as the clumsy sloth the others barely have lines the small rodent squirrel is also good for some short comic relief along the way as he tries hard to bury its acorn it was nice to see how they kept manny reason for being a loner mysterious until the almost very end what made this movie enjoyable for me were the fantastic job the animators did with the whole body expressions this is like watching a cg muppets sesame street the fur and fat undulates muscles stretch and contract conveying a very comical feel manny fur and sid belly were especially well done unfortunately they focused so much on the animals the humans were left as an afterthought too robotic but you do not see much of them anyway i also love how there were very little saccharine songs ahem disney to revolt you it wonderful to see how well cg and people talent is coming along this presents a much more level playing field for the movie studios disney definitely does not own this joint which is a great thing since their stuff has been uninspired of late i can easily and heartily recommend this film seeing as how the competition the last # weeks have been utter garbage so go on watch it and bring the kids ,9,"['okay', 'first', 'things', 'first', 'this', 'not', 'the', 'level', 'shrek', 'even', 'monsters', 'inc', 'terms', 'the', 'storyline', 'nor', 'the', 'subtle', 'not', 'subtle', 'modern', 'references', 'tons', 'cliches', 'abound', 'but', 'not', 'let', 'that', 'get', 'the', 'way', 'your', 'enjoyment', 'watch', 'without', 'being', 'grumpy', 'cynic', 'you', 'will', 'come', 'away', 'satisfied', 'for', 'the', 'ticket', 'you', 'just', 'paid', 'film', 'that', 'will', 'make', 'you', 'smile', 'along', 'the', 'way', 'maybe', 'sniffle', 'the', 'end', 'this', 'was', 'not', 'meant', 'masterpiece', 'was', 'meant', 'fun', 'for', 'all', 'ages', 'film', 'definitely', 'succeeds', 'basic', 'storyline', 'mammalian', 'misfits', 'coming', 'together', 'save', 'baby', 'boy', 'the', 'voice', 'casting', 'was', 'perfect', 'john', 'especially', 'fitting', 'the', 'clumsy', 'sloth', 'the', 'others', 'barely', 'have', 'lines', 'the', 'small', 'rodent', 'squirrel', 'also', 'good', 'for', 'some', 'short', 'comic', 'relief', 'along', 'the', 'way', 'tries', 'hard', 'bury', 'its', 'acorn', 'was', 'nice', 'see', 'how', 'they', 'kept', 'manny', 'reason', 'for', 'being', 'loner', 'mysterious', 'until', 'the', 'almost', 'very', 'end', 'what', 'made', 'this', 'movie', 'enjoyable', 'for', 'were', 'the', 'fantastic', 'job', 'the', 'animators', 'did', 'with', 'the', 'whole', 'body', 'expressions', 'this', 'like', 'watching', 'muppets', 'sesame', 'street', 'the', 'fur', 'fat', 'undulates', 'muscles', 'stretch', 'contract', 'conveying', 'very', 'comical', 'feel', 'manny', 'fur', 'sid', 'belly', 'were', 'especially', 'well', 'done', 'unfortunately', 'they', 'focused', 'much', 'the', 'animals', 'the', 'humans', 'were', 'left', 'afterthought', 'too', 'robotic', 'but', 'you', 'not', 'see', 'much', 'them', 'anyway', 'also', 'love', 'how', 'there', 'were', 'very', 'little', 'saccharine', 'songs', 'ahem', 'disney', 'revolt', 'you', 'wonderful', 'see', 'how', 'well', 'people', 'talent', 'coming', 'along', 'this', 'presents', 'much', 'more', 'level', 'playing', 'field', 'for', 'the', 'movie', 'studios', 'disney', 'definitely', 'does', 'not', 'own', 'this', 'joint', 'which', 'great', 'thing', 'since', 'their', 'stuff', 'has', 'been', 'uninspired', 'late', 'can', 'easily', 'heartily', 'recommend', 'this', 'film', 'seeing', 'how', 'the', 'competition', 'the', 'last', 'weeks', 'have', 'been', 'utter', 'garbage', 'watch', 'bring', 'the', 'kids']"
en,-1591406591,i read the book from sebastien japrisot last year i was very caught up with the story touched by the characters and very moved by the stories of these soldiers in the absurdity of world war i now regarding the movie the plot and the characters are still good to fully enjoy it you must like the style of jp jeunet and also audrey tautou she plays well but she carries the whole movie on her shoulder so you would better not hate her the contrast between the very clean non war scenes and the battles is too strong the fairy tale paris of #### and the mud and the blood of the battle field are too different to be in the same movie i think more realistic scenes of paris and bretagne would have made the story more believable to conclude i would highly recommend to people who are not sure to go see the movie or the disappointed ones to read the book it is on the overall much better than the film ,5,"['read', 'the', 'book', 'from', 'last', 'year', 'was', 'very', 'caught', 'with', 'the', 'story', 'touched', 'the', 'characters', 'very', 'moved', 'the', 'stories', 'these', 'soldiers', 'the', 'absurdity', 'world', 'war', 'now', 'regarding', 'the', 'movie', 'the', 'plot', 'the', 'characters', 'are', 'still', 'good', 'fully', 'enjoy', 'you', 'must', 'like', 'the', 'style', 'also', 'she', 'plays', 'well', 'but', 'she', 'carries', 'the', 'whole', 'movie', 'her', 'shoulder', 'you', 'would', 'better', 'not', 'hate', 'her', 'the', 'contrast', 'between', 'the', 'very', 'clean', 'non', 'war', 'scenes', 'the', 'battles', 'too', 'strong', 'the', 'fairy', 'tale', 'paris', '####', 'the', 'mud', 'the', 'blood', 'the', 'battle', 'field', 'are', 'too', 'different', 'the', 'same', 'movie', 'think', 'more', 'realistic', 'scenes', 'paris', 'would', 'have', 'made', 'the', 'story', 'more', 'believable', 'conclude', 'would', 'highly', 'recommend', 'people', 'who', 'are', 'not', 'sure', 'see', 'the', 'movie', 'the', 'disappointed', 'ones', 'read', 'the', 'book', 'the', 'overall', 'much', 'better', 'than', 'the', 'film']"
en,-836740088,the film gattaca is a very good one especially if you are in to good controversial movies the film shows a lot of where the future may be heading the future of genetics it makes you ask yourself how far are we really going to go with genetics andrew niccol does an excellent job the acting is an even bigger bonus not only is it a great film but it also teaches a good lesson never give up no matter what anybody says any film that does this great in direction acting and plot deserves a ## ,7,"['the', 'film', 'very', 'good', 'one', 'especially', 'you', 'are', 'good', 'controversial', 'movies', 'the', 'film', 'shows', 'lot', 'where', 'the', 'future', 'may', 'heading', 'the', 'future', 'genetics', 'makes', 'you', 'ask', 'yourself', 'how', 'far', 'are', 'really', 'going', 'with', 'genetics', 'andrew', 'does', 'excellent', 'job', 'the', 'acting', 'even', 'bigger', 'bonus', 'not', 'only', 'great', 'film', 'but', 'also', 'teaches', 'good', 'lesson', 'never', 'give', 'matter', 'what', 'anybody', 'says', 'any', 'film', 'that', 'does', 'this', 'great', 'direction', 'acting', 'plot', 'deserves']"
