,Language,Movie_ID,Review,Score
0,EN,-1018312192,good interpretation of the actors # good special effects # good story # best human character cesar action not prevail as importance good this movie shows that apes in their evolution became more human than human beings have regressed important is the phase between oppression and rebellion the awareness acquired through intelligence of their state of slaves it an excellent movie which contains a meaning very deep for all people of earth when people wake up from darkness imposed by unscrupulous and greedy individuals they will emanate the light of revolution the only negative note i feel to observe is the easier way apes destroy scientific centre windows it would be impossible to break down a bulletproof door or window i prefer realism to exaggeration ,9
1,EN,-1112579067,before watching the pursuit of happiness i did not know that will smith is such a great actor he played pivotal role and indelible impression by maintaining fabulous performance throughout the film thiis film is not a comedy or action flicks but truly completely an inspirational and hope and emotional that you can touch and feel it most of the scene between the father and son and dialogs are amazing here we have a lesson for overcoming struggles of every part of life frankly it a serious movie but very much enjoyable and no boring at all the climactic scene is very strong and the will smith expression after his job got confirmed is such a terrific acting and i cried for that this is one of my must watch film ,8
2,EN,-1084746746,while this movie may at most times be highly formulaic it has a charm that so many of these films lack the casting of voices was well done and the humor clean and amusing without the oh so common double entendres intended for adults constantly littering the dialog the animation is well done and not overdone overall on the pywrit scale of # ## this one gets a # hey i enjoyed it what can i say ,9
3,EN,-836740088,gattaca refers to a fictional aerospace company whose space flights the film protagonist vincent played by ethan hawke dreams of joining unfortunately for him the film begins with the natural i e old fashioned birth of vincent compared to the genetically engineered birth of his brother and most of the rest it appears of this society set in the not too distant future this society has the technical knowledge to allow parents to select the genetic components for their offspring that optimize mental and physical factors and apparently most parents pick that route rather than the uncertainty of random genetic re combination thus we have a two tiered society between the genetically enriched and the natural births respectively called valids and in valids in the film and vincent as an in valid with a heart condition is relegated to menial jobs rendering his dream of going into space impossible vincent gets a janitor job at gattaca and the rest of the film is largely driven by his efforts to get on the space flight to saturn moon titan by passing himself off as a valid by using genetic markers purchased from a valid the film ominously depicts how practically everybody is being screened all the time by their genetic markers e g blood a strand of hair which renders the individual almost instantly recognizable as a valid or in valid gattaca is a science fiction film that has no weird aliens or deadly space rays but instead takes an intelligent thoughtful approach to a scientific issue that may be closer than we think some scientists have predicted that perhaps in several decades we might have the two tiered society envisioned in gattaca between those with the financial resources to pay for genetically enriched children and those who must opt for a random shuffling of the parental genes for that matter this film reminded me of aldous huxley brave new world in which i re read a few chapters prompted by seeing gattica in huxley book all children are genetically designed to fit into five castes the less numerous but superior alpha and beta castes rule over the more numerous but inferior three lower castes who are subjected to chemical interference to promote arrested development in intelligence and physical growth the allocation of the castes presumably promotes social stability so we have # brave new world genetic determinism which seems to be sort of a centrally planned variety # the genetic determinism feared by current futurists who worry about genetic enrichment being accessible only perhaps initially to the rich making for a caste not a class society based on the resulting unequal competition and # gattica portrayal of a genetically determined world which shows genetic engineering available to everyone but with some opting for natural children of course this allows the film to celebrate the human spirit and motivation of an in valid as he strives to achieve his ambition but these personality characteristics e g motivation risk acceptance would also be at least partially genetically determinable as well in the world envisioned by gattaca if these issues intrigue you or better worry you than gattaca is a film for you ,10
4,EN,148997333,admittedly i read one or two comments from the imdb just to get a feel for the film before viewing i felt confident with the cast list and excited by the comments on the film visually stunning images i also thought that i would be going to get nick cave melodic soundtrack to the film no chance what a lengthy two hour tedious amount of drivel that story could have been edited to one hour if it was not for the pretence of lingering images of shadows and so forth after two hours i was willing the assassination to take place the characters may have been given some depth but they were just plain boring the story meanders in a plot which does not build tension but instead just meanders along from one dark scene to another and as for the train robbery scene i have seen better masks in tim burton nightmare before christmas why is everybody brainwashed by this film ,3
5,EN,1126843917,perfect the only word to describe the brilliance before my eyes brilliant directing acting writing soundtrack everything worked together to make a superb thriller about a serial killer following the se#en deadly sins mills has requested transfer to homicide in new york somerset is retiring bodies start piling up and the investigation starts somerset reluctantly teaches mills what he can the art direction in this film is breathtaking every scene will leave you wanting for more every time i watch the credits roll i want to start the movie over while the ending was changed slightly from the original script i think it is for the better this one goes down in the books my friends a must see especially if you are a david fincher fan suspense ## ##,7
6,EN,105055248,sin # tossing out established canon the coolest bit of lore about the first movie is completely lost in the sequel that alone is a sin you cannot redeem yourself for in the original it was established canon that john wick was not a man to mess with even the main villain respected and feared his abilities in john wick # however all of that is gone nobody fears john wick nobody is afraid to take him on his past deeds and reputation mean absolutely squat the new villain never thinks twice about double crossing wick every hit man on the planet and according to this movie they are every where has no qualms about trying to take wick out sin # no main character growth in the first movie we travel along with wick as he avenges his dog and in the end moves forward with his grief the video of his wife tells him to get up and move on in john wick # there is zero character growth he is no different at the end of the movie as he is when it starts sure his circumstances have been altered but as a character he has overcome nothing that makes for a boring story sin # weak plot the original movie had a simple but strong plot revenge the plot of the sequel is weak even by action movie standards wick has been called into service to kill a criminal if he refuses he dies but wait if he accepts he also dies the whole movie could have started and ended with the original premise of refusing the contract it would have made more sense to refuse the contract and fight off the baddies coming to enforce the blood oath sin # video game bad guys wow there is evidently a plethora of john wick cannon fodder they just keep coming and there really is no logical reason why they do the body count is so high that it becomes comical the original had a big body count but it was divided among # big action scenes and for an action movie seemed plausible this one doubles the body count but there are so many the coolness of each kill is lost in an over abundance of victims sin # invincible superhero hit by two cars stabbed and shot numerous times and he just keeps on going must be seeing the doctor and getting pain pills right nope no doctors in this one that kind of logical realism may interfere with the killing of cardboard bad guys at one point a fellow assassin holds a pistol point blank in wick abdomen and fires a couple shots through him no biggie wick has another ## bad guys to kill sin # james bond gadgets i love the continental do not get me wrong but the secret underground hit man hosting hotel just goes too far in this one bulletproof suit coats that can be held up like batman cape to shield yourself from bullets silencers so quiet that two adversaries can have a shootout in a subway between bystanders and nobody knows even though bullet holes are being blasted into the walls around them sin # shallow villains yes there are the ### plus cardboard video game baddies but in the first john wick the main villain had a moral dilemma turn over his son to save his own butt the bad guys in wick # have no interesting character motivation or dilemmas the closest you get is common desire for revenge after wick kills his client and that was the most interesting bad guy on the screen it is hard to believe the two movies were written by the same folks sin # soundtrack john wick # had an unbelievable soundtrack that actually set the mood as he moved through the action scenes and the emotional scenes this soundtrack just plain sucks there is nothing memorable in it and it does little to impart any emotion on a given scene sin # pacing even the big action scenes in this movie are too long in their desire to up the body count they went with longer action sequences it really messes with the pace of the film the first movie did a great job of dividing the action and keeping the viewer engaged the longer these scenes go the less believable they became which pulls the audience out of the moment sin ## rehashing things that worked in the first movie there are some great scenes in the first wick and the director knew that so they tried to repeat them this is a classic sequel mistake and unfortunately wick # falls victim to this trope you liked the interaction with jimmy we will get another one in there like the reload and kill we will put a twist on that one also it was great to see the pencil kills that is how it should be done do not show us the same thing but different show us new that may have been mentioned previously making the next sequel look better then this one the end of this movie sets up a very interesting plot for a third movie and almost everyone that walked out was excited to see it that is wonderful except when that movie actually sounds more interesting then the one you just watched you should have just made that movie instead all in all wick # falls short of the first one once again we are treated to an amazing movie whose sequel just does not capture the magic of the first one i am looking at you red # donnie darko # matrix # etc ,3
7,EN,619717208,# ## at most it hokey cheesy even goofy in places and i thought the war stuff in the final act was not really that engaging i never felt any emotional impact oh and the montage of the saving of ## was rushed and without gravitas the cast was fine nothing standout vince vaughn i felt was still vince vaughning it in cannot really change that the true story was interesting although i feel the details are slightly embellished it all felt very low brow american and a tad religious ee there are definitely better war films out there ,10
8,EN,-639976942,iron man is the first feature to be made entirely by marvel a gamble which has paid off to the tune of over ### million worldwide so far for a non sequel from a fledgling company that is impressive and bodes well for marvel reboot of the incredible hulk due in june comic book films are big money spinners now but the success of a new series is predicated on the entertainment value of the central character and in this way hulk and tony stark have similar problems they just are not super enough iron man starts with an unnecessary flashback structure presumably to ensure some loud action in the first minute or two tony stark played with now familiar post rehab gusto by robert downey jnr is the embodiment of the capitalistic jingoistic american ideal he has become absurdly rich designing weapons and more significantly has no moral qualms whatsoever about the negative effects of his work stark is not a nice man except he is this potentially realistic and complex dualistic behaviour is lost in the film failure to choose sides leading us to the first of many problems what are we the audience supposed to think of tony stark he is presented as bright and brilliant a charming man of the people but also as a womaniser and a warlord this initial confusion is nothing compared to what happens later on after a brush with death and a subsequent escape which is accomplished in an ultra violent fashion he holds a hippie press conference and vows to stop making weapons for good this turnaround is simply too fast and as presented by downey jnr with his usual twinkly eyed glazed look has none of the power or angst we have come to expect from comic book origin stories his parents are not murdered before his eyes nor is his home world destroyed he comes across as a petulant child who is bored with his old toys instead of using his money to work for peace or help starving children he creates a powered battle suit and flies around the world blowing things up exactly how this is protecting the people he put in harm way is slightly beyond me and the hypocrisy of the double standard is appalling it is only when stark realises that shock horror his weapons might be used against american troops that he begins to examine his conscience do not get the wrong idea there is nothing particularly obnoxious about iron man the performances are light and breezy and the script is a cut about the blockbuster norm littered as it is with a particularly dry sense of humour the central performance from robert downey jnr is the film saving grace but also its achilles heel his presence is enjoyable on the one hand but in my opinion also detracts from the credibility of the whole endeavour you keep expecting him to wink to camera and finally admit it is some kind of extravagant saturday night live parody that jeff bridges is really being played by will ferrell and terrence howard is actually just a cardboard cutout i still do not get terrance howard i have yet to see him raise a palpable or even guessable emotion in his roles his face seems oddly expressionless and his voice almost unbearable he gets some good lines in this film but sounds like he reading them from an auto cue but i digress as once off summer entertainment this kind of self aware film making is bearable but i simply cannot see the film becoming a much loved classic in the future so what does the film have going for it the special effects are impressive with the integration of cg and live action especially so the set pieces when they come run the gamut from mundane to genuinely thrilling stark armoured escape from captivity is surprisingly dull while some of the later aerial combat sequences are exciting once again though the use of sfx has positive and negative effects particularly in relation to the ending the final confrontation has become a serious problem for the superhero film in days of yore special effects were difficult so typically the best the film had to offer was saved for the ending now every scene is liberally slathered with computer generated gunk the result is explosive fatigue a run of overpowering sequences which forgo actual affect for special effect a dozen astonishingly well rendered high octane scenes does not create a cumulative effect if the same level of frankly awe inspiring cg work is applied to the hero designing and dressing in his suit then what is left for the audience to look forward to what makes a special effect special these days the ending of iron man is another clunky computer aided brawl where narrative is suspended for minutes at a time while increasingly unrealistic pieces of metal and flesh beat on each other this moment is reminiscent of a dozen other recent movie resolutions from hellboy to the matrix revolutions all equally dull without vicarious involvement a sense that a character we can identify with is in danger it just amounts to so many polygons perhaps i have been a little harsh on iron man i cannot honestly say i was bored by the experience but i do feel its major mis steps are a symptom of a greater malaise at the heart of contemporary blockbuster cinema if however your cynicism has not quite reached the pathological degree mine has you could well have some fun with iron man robert downey jnr jeff bridges and gwyneth paltrow are amiable enough company even if the latter seems as though an errant puff of wind would shatter her into a million pieces and the director jon favreau keeps things moving at a reasonable pace stark character arc is minimal more of a character stroll really but his near trademarked delivery of pg ## witticisms should be enough to hold your attention just ,9
9,EN,-639976942,omg this movie had it all the effects the plot the action the predictable cameo from stan lee look for it note to self cameos are cool and i should be in all of my films what else can i say about a film that has raked in ### million over the last # days according to the radio station that i showered to this morning and thats darn impressive i remember getting a text message saying stay till after the credits and i am happy i did and for those who are probably reading this you know why robert downey jr no relation to morton downey jr has really delivered as opposed to mr pacino in ## minutes his stark is believable jeff bridge character is also believable ,10
